Sector,2021 Employment
Industrial,42902
Institutional,12067
Local Services,15937
Office,27384
Public Administration,14739
Total,113029
"Agriculture, Forestry, Fishing and Hunting",7
"Mining, Quarying, and Oil and Gas Extraction",0
Utilities,13
Construction,15578
Manufacturing,5654
Wholesale Trade,6744
Retail Trade,9433
Transportation and Warehousing,14906
Information,1617
Finance and Insurance,2967
Real Estate and Rental and Leasing,2085
"Professional, Scientific, and Technical Services",3476
Management of Companies and Enterprises,897
Administrative and Support and Waste Management and Remediation Services,16342
Educational Services,4318
Health Care and Social Assistance,7749
"Arts, Entertainment, and Recreation",472
Accomodation and Food Services,3735
Other Services (except Public Administration),2297
Public Administration,14739
Unclassified,0
